id_poi_datatourisme;match_score;name;siret;site_internet;contact_url;entree_plain_pied
2679;130.0;Paradox;;https://www.paradox-vr.fr/;https://www.paradox-vr.fr/contact/;True
2691;129.5;Le Havre - Port Center;;https://lehavreportcenter.com/;https://lehavreportcenter.com/;True
2710;106.2;Brûlerie Charles Danican - Cafés Charles Danican;;https://www.cafecharlesdanican.com/;https://www.cafecharlesdanican.com/pages/contact;
2741;130.0;Le Hangar Zéro;;;;True
2761;113.1;Église Saint-Michel;;https://www.lehavre.catholique.fr/;https://www.lehavre.catholique.fr/contacter-le-diocese/;True
2784;103.9;Premiere Classe Le Havre Centre-LES DOCKS;;;;True
2800;129.6;Le Zgorthiote;;https://www.lezgorthiote.com/;https://lezgorthiote.com/contact/;True
2827;90.0;L'Orangeraie;;https://www.orangeraie-jardins-suspendus.fr/;https://www.orangeraie-jardins-suspendus.fr/contact/;
2977;129.0;Centre Nautique Paul Vatine;;https://cnpaulvatine.fr/;https://cnpaulvatine.fr/contact/;
3060;92.3;Cimetière Sainte-Marie;;http://lehavre.fr/annuaire/cimetiere-sainte-marie;https://www.lehavreseine-patrimoine.fr/patrimoines/patrimoine-funeraire-et-religieux/cimetiere-sainte-marie;True
3077;130.0;Hôtel Carmin;;https://hotelcarmin-lehavre.com/;https://hotelcarmin-lehavre.com/fra/contact;True
3078;100.9;Le Hangar Zéro;;;;True
3103;93.4;Abeille Parachutisme;;https://www.abeilleparachutisme.fr/;https://www.abeilleparachutisme.fr/contact;True
3205;129.5;L'Havrais Bière;;https://lhavraisbiere.fr/notre-carte-du-moment/;;True
3371;129.9;Le Taj Mahal;;https://www.restaurant-taj-mahal.fr/;;True
3448;129.6;Hopital Prive de L'Estuaire;;;;True
3503;108.9;Jost Hotel Le Havre Gare;;;;True
3521;129.1;Appart'hôtel Odalys City Le Havre Centre;;;;
3524;129.2;Brûlerie Charles Danican - Cafés Charles Danican;;https://www.cafecharlesdanican.com/;https://www.cafecharlesdanican.com/pages/contact;
3572;110.9;Musée d'art moderne André Malraux;;https://www.muma-lehavre.fr/;https://www.muma-lehavre.fr/fr/contact/general;True
3584;129.4;Le Diplodocus;;;;
3602;111.9;Club des Loisirs Nautiques Thalassa;;https://www.clnthalassa.net;;
3626;128.9;Hôtel Dubocage de Bléville;;https://www.musees-mah-lehavre.fr/musees/hotel-dubocage-bleville;https://www.musees-mah-lehavre.fr/contact;True
3767;116.0;The Roof Le Havre - Home De L'escalade;;;;True
3851;110.9;Nomad Hotel Le Havre;;https://www.oceaniahotels.com/nomad-hotel-le-havre;;True
3925;112.6;Le Volcan - Scène Nationale du Havre;;https://www.levolcan.com/;https://www.levolcan.com/contact-lequipe;True
3926;129.7;Pâtisserie MAZZONI;;https://patisseriemazzoni.fr/;;False
3940;109.2;Calice et Mandibule;;http://www.calice-mandibule.fr/;;True
4005;87.2;Café Marie Blachère;;http://www.marieblachere.com/;;True
4027;129.7;Le Cacaotier;;https://www.lecacaotier.com/;https://www.lecacaotier.com/contact/;
4085;101.1;Maison de l'armateur;;https://musees-mah-lehavre.fr/;https://musees-mah-lehavre.fr/contact;True
4107;111.0;Le Havre Etretat Normandie Tourisme;;https://www.lehavre-etretat-tourisme.com/;https://www.lehavre-etretat-tourisme.com/contactez-nous/;True
4138;110.6;Cimetière Sainte-Marie;;http://lehavre.fr/annuaire/cimetiere-sainte-marie;https://www.lehavreseine-patrimoine.fr/patrimoines/patrimoine-funeraire-et-religieux/cimetiere-sainte-marie;True
4155;113.8;Abbaye de Graville;;https://musees-mah-lehavre.fr/;https://musees-mah-lehavre.fr/contact;True
4230;92.8;💊 Pharmacie Les Pépinières, Le Havre, Seine Maritime 76;;https://pharmacie-les-pepinieres.business.site/;;True
4315;89.0;Novotel Le Havre Centre Gare;;https://hotel-novotel-lehavre.com/;https://hotel-novotel-lehavre.com/contact/;True
4349;129.9;Au Caid;;https://bureautabac.fr/76/le-havre/au-caid-y7d;;True
4369;110.7;Calice et Mandibule;;http://www.calice-mandibule.fr/;;True
4374;93.4;Jost Hotel Le Havre Gare;;;;True
4414;93.0;Le Studio;;http://www.cinema-le-studio.fr/;;True
4415;85.1;Cimetière Sainte-Marie;;http://lehavre.fr/annuaire/cimetiere-sainte-marie;https://www.lehavreseine-patrimoine.fr/patrimoines/patrimoine-funeraire-et-religieux/cimetiere-sainte-marie;True
4496;110.3;Hautot Chocolatier Pâtissier;;https://chocolatshautot.com/boutiques/chocolatier-le-havre/;;False
4536;128.9;Mercure Le Havre Centre Bassin Du Commerce;;;;True
4563;129.6;Novotel Le Havre Centre Gare;;https://hotel-novotel-lehavre.com/;https://hotel-novotel-lehavre.com/contact/;True
4583;129.7;Restaurant la Sirene;;;;
4584;121.4;Le Havre Etretat Normandie Tourisme;;https://www.lehavre-etretat-tourisme.com/;https://www.lehavre-etretat-tourisme.com/contactez-nous/;True
4594;129.1;CHEZ RENE;;;;True
4618;129.1;Les Enfants Sages;;https://restaurant-lesenfantssages.com/;https://restaurant-lesenfantssages.com/contact/;
4627;86.8;Théâtre Le Normandy;;https://theatrelenormandy.com/;https://theatrelenormandy.com/contact/;False
4648;129.8;Le Margote;;https://www.lemargote.fr/;;True
4757;129.7;Il Roméo;;;;True
4801;129.5;Hotel le Richelieu;;;;False
4818;87.3;Café Marie Blachère;;http://www.marieblachere.com/;;True
4876;113.7;Hôtel Lilybloom;;https://www.hotellilybloom.fr/;https://www.hotellilybloom.fr/contact;True
4888;112.2;Kangourou Kids;;https://www.kangouroukids.fr/nos-agences/le-havre;https://www.kangouroukids.fr/contact;
4892;129.1;RESTAURANT LE 129ème;;https://restaurants.accor.com/fr/restaurant-1123_R001-restaurant-pizzapasta-le-havre.shtml;;True
4981;129.8;Godot & Fils Bureau de change de devises, comptoir d'or investissement;;https://godotetfils.com/lehavre/;https://godotetfils.com/lehavre/contact/;True
5030;130.0;La Croisette;;http://www.restaurant-lacroisette.fr/;;
5077;113.0;Maison de l'armateur;;https://musees-mah-lehavre.fr/;https://musees-mah-lehavre.fr/contact;True
5184;129.2;NACHOS - MEXICAN GOOD FOOD;;https://nachos.fr/le-havre/?utm_source=google;;True
5187;109.4;Le Tetris;;https://letetris.fr/;https://letetris.fr/infos-pratiques/contactez-nous;
5212;129.8;Chez André;;;;False
5334;111.1;Les Bains Maritimes;;https://www.lehavre-etretat-tourisme.com/;https://www.lehavre-etretat-tourisme.com/contactez-nous/;
5338;128.9;A l'Epicerie Le Havre;;https://www.a-lepicerie.com/;https://www.a-lepicerie.com/contact/;True
5478;129.8;Monsieur Auguste;;http://www.monsieurauguste.fr/;;True
5484;129.6;Saveur Chocolat;;;;True
5566;115.7;Pasino Partouche Le Havre (Casino);;https://casino-lehavre.partouche.com/;;False
5812;130.0;The Architect;;;;True
5876;129.8;Museum D'Histoire Naturelle;;https://museum-lehavre.fr/;https://museum-lehavre.fr/contacts;True
5915;129.7;B&B HOTEL Le Havre Centre;;https://www.hotel-bb.com/fr/hotel/le-havre-centre;;True
5948;100.1;Jost Hotel Le Havre Gare;;;;True
5955;129.8;Best Western Plus Le Havre Centre Gare;;;;True
6049;120.6;Clinique des Ormeaux Sa;;;;True
6071;129.0;Société des Régates du Havre;;;;
6174;89.4;Start People Le Havre;;https://www.startpeople.fr/nos-agences/start-people-le-havre;https://www.startpeople.fr/contactez-nous;False
6178;129.9;Le Sorrento;;https://sorrento-lehavre.com/;https://sorrento-lehavre.com/contact-restaurant-italien-le-havre/;True
6268;94.9;Piscine Municipale Cours de la République;;https://www.lehavre.fr/annuaire/piscine-la-republique;;True
6279;129.9;La Rêverie;;;;
6331;129.7;Taverne Paillette;;https://www.taverne-paillette.com/;;True
6380;129.8;Jean-Luc Tartarin;;;;False
6429;89.0;The People - Le Havre;;;;False
6533;129.7;Galerie Eric Baudet;;https://galerie-ericbaudet.fr/;https://galerie-ericbaudet.fr/contact/;False
6554;106.7;Ophelie Patisse;;https://coursdecuisine76.jimdofree.com/;;
6614;111.7;La Singerie;;;;False
6693;129.7;Brasserie Georges B.;;https://brasserie-georges-b.fr/;;True
2167;92.6;Base de loisirs de Jumièges;;https://www.basedejumieges.fr;;
3657;88.5;Base de loisirs de Jumièges;;https://www.basedejumieges.fr;;
6358;96.8;Base de loisirs de Jumièges;;https://www.basedejumieges.fr;;
491;102.8;Ibis budget Rouen Petit Quevilly;;;;True
1429;101.9;Hôpital Saint Julien;;https://www.chu-rouen.fr/hopital/hopital-saint-julien-petit-quevilly/;;True
4126;87.4;Cimetière communal de Le Petit-Quevilly;;https://www.petit-quevilly.fr/;;True
4471;129.7;Restaurant Les Capucines;;http://www.les-capucines.com/;;True
1308;129.3;Camping Abijune;;https://www.camping-abijune.com/;https://www.camping-abijune.com/contact-camping-abijune/;True
3356;118.5;Hotel bar Saint Christophe;;;;False
3853;130.0;Hotel bar Saint Christophe;;;;False
6101;130.0;O'4 Saisons;;https://o4saisons.fr/;https://o4saisons.fr/contact/;
821;129.8;Ô Bout du Quai;;;;True
1020;112.6;FUNICULAIRE;;;;True
1526;129.5;Le Damali;;https://www.ledamali.fr/;;True
1994;129.8;La Villa Normande;;http://lavillanormande-letreport.com/;;False
2287;130.0;Lady Marcass;;https://www.instagram.com/lady.marcass/;;False
2546;92.5;JOACASINO;;http://www.joa-casino.com;;True
2845;129.8;La Villa Normande;;http://lavillanormande-letreport.com/;;False
2996;112.8;La Villa  Marine;;;;False
4050;129.0;Hôtel le Saint Yves;;;;True
4271;129.3;Hotel De Calais;;;;
5755;96.9;Office de Tourisme Destination Le Tréport - Mers Bureau Le Tréport Plaisance;;https://www.destination-letreport-mers.fr/la-destination/presentation-des-communes/le-treport/;https://www.destination-letreport-mers.fr/contactez-nous/;True
6070;90.7;Hotel De Calais;;;;
2168;129.8;Ma Première Bière;;https://ma-premiere-biere.fr/;;
