id_poi;poi;lat;lon;found;distance_m;api_lat;api_lon;image_url;nb_results
841;Rien ? Danse par la Compagnie Monsieur K;49.46313;1.07078;True;33.02;49.4633798;1.0705329;https://panoramax.openstreetmap.fr/derivates/4c/05/b4/67/406c-422c-b89f-2fd2d82e4ad8/sd.jpg;10
842;La Petite “Lourdes”;49.67862;0.847186;False;;;;;0
843;Gîte La Maisonnette;49.5284885;0.5953497;False;;;;;0
844;Château Saint-Victor;49.665348;0.965562;False;;;;;0
845;Fête de la mer;50.0603601;1.37426076;True;3.26;50.060367402;1.374305038;https://panoramax.openstreetmap.fr/derivates/71/7a/08/85/9ad9-4c0d-a536-45db4fe702b0/sd.jpg;10
846;Exposition A Touch of Hopper par Dom Simon;49.4409624;1.0734676;False;;;;;0
847;Visite commentée de la Chapelle des Noyers;49.632843;1.63574;False;;;;;0
848;Forêt indivise d'Eu;50.012701;1.47281202;False;;;;;0
849;Vedettes Baie de Seine - Traversées de l'estuaire;49.4868068;0.0985444;True;24.18;49.48694;0.098809;https://panoramax-storage-public-fast.s3.gra.perf.cloud.ovh.net/derivates/72/44/09/c9/bf05-462c-ae14-1ef0b96f689f/sd.jpg;10
850;O DELA DE L'O, le 64;50.048281;1.422207;True;4.99;50.0483083;1.4221516;https://panoramax.openstreetmap.fr/derivates/16/0b/74/e5/7353-441d-827b-20773ce8a782/sd.jpg;10
851;M et Mme Lecomte;49.7376723;0.31303239;False;;;;;0
852;Oceng Oryema;49.51811;0.53258;True;47.38;49.5183793;0.5330886;https://panoramax-storage-public-fast.s3.gra.perf.cloud.ovh.net/derivates/a7/65/44/48/15bb-4c91-bb58-19f9f7cb0910/sd.jpg;10
853;Les Petites Suites Dieppoises - L'Atelier Couture;49.923466;1.072746;True;2.05;49.9234478;1.0727506;https://panoramax.openstreetmap.fr/derivates/c1/d1/af/1d/7c76-4d81-912d-cfc8b068945e/sd.jpg;10
854;Dieppe Bowling;49.9092642;1.0780957;True;30.21;49.909077;1.07779;https://panoramax.openstreetmap.fr/derivates/35/42/06/90/e713-4e2b-b1bd-bd3123276ff0/sd.jpg;10
855;Cathédrale Notre-Dame de Rouen;49.4403134;1.09503342;True;46.21;49.440675903;1.09534595;https://panoramax.openstreetmap.fr/derivates/b6/a3/fe/39/da91-424d-a5a0-d9023839e770/sd.jpg;10
856;Jonas + Lars & Co;49.65087;0.59401;True;6.53;49.650905658;0.594081994;https://panoramax-storage-public-fast.s3.gra.perf.cloud.ovh.net/derivates/3e/0c/1f/7a/50d2-49b8-aad2-3004a76cf32d/sd.jpg;10
857;ULM 76;49.53228;0.094819;False;;;;;10
858;Les Cinq Hêtres;49.8106692;0.94556836;False;;;;;0
859;Hôtel Relais d'Étretat;49.5722567;0.4925624;False;;;;;0
860;Visite guidée du manoir d'Auffay;49.729212;0.6818054;False;;;;;0
861;Balade autour de l’observatoire photographique du Grand Site;49.6429024;0.1630853;True;17.25;49.642801328;0.162903615;https://panoramax.openstreetmap.fr/derivates/bc/cd/88/5f/c56c-4a88-841e-ab8f65ace1c7/sd.jpg;10
862;Aire de stationnement et de service de Saint-Pierre-Bénouville;49.7354731;0.9739586;False;;;;;0
