id_poi;poi;poi_api;source;verdict;score
121;Monroe;Aucun;Aucune;Inconnu;0
122;Visite Atelier Roger Douville;Atelier Roger Douville;OSM;Inconnu;92
123;[Festival J.E.Di];Aucun;Aucune;Inconnu;0
124;"Exposition artistique ""Dramagraphie""";Aucun;Aucune;Inconnu;0
125;Le Bièvredent;Aucun;Aucune;Inconnu;0
126;Concert : Benjamin Biolay;Aucun;Aucune;Inconnu;0
127;Meublé 54 LEVILLAIN;Aucun;Aucune;Inconnu;0
128;Un après-midi à la ferme;Aucun;Aucune;Inconnu;0
129;All Suites Appart Hôtel Le Havre - GESTLEHAVRE;All Suites Appart Hôtel Le Havre - GESTLEHAVRE;AccèsLibre;Oui;113
130;Gîte du petit pressoir;Aucun;Aucune;Inconnu;0
131;La Longère;Aucun;Aucune;Inconnu;0
132;Fête de la musique à Cideville;Cideville;OSM;Inconnu;84
133;Marais de Longueil;Mairie - Longueil;AccèsLibre;Inconnu;97
134;Écomusée Pays de Caux - Traditions du Lin;Aucun;Aucune;Inconnu;0
135;Le Fournil du Lin;Le Fournil du Lin;OSM;Inconnu;129
136;Visite théâtralisée : Perret la nuit...;Aucun;Aucune;Inconnu;0
137;Hôtel de Bourgtheroulde ***** - Autograph Collection;Hôtel de Bourgtheroulde, Autograph Collection;AccèsLibre;Oui;129
138;Jardin du Manoir de l'Aumônerie;Manoir de l'Aumônerie;AccèsLibre;Non;95
139;[Animations] Village des sports;Aucun;Aucune;Inconnu;0
140;L'insolit O Verger;Aucun;Aucune;Inconnu;0
141;Aire de pique-nique d'Héronchelles;Mairie - Héronchelles;AccèsLibre;Oui;97
143;Gîte Côté Mer;Aucun;Aucune;Inconnu;0
144;Mon premier ciné concert;Aucun;Aucune;Inconnu;0
145;La croix de pierre;Aucun;Aucune;Inconnu;0
146;Le Cotin des Cordiers;Aucun;Aucune;Inconnu;0
147;[Concours de pétanque] La Boule Offranvillaise;Aucun;Aucune;Inconnu;0
148;Aux Anciennes Halles;Aucun;Aucune;Inconnu;0
150;La Mare aux Daims;Aucun;Aucune;Inconnu;0
151;"Marché à la ferme ""Les Prés d'Artemare""";Aucun;Aucune;Inconnu;0
152;L'Atelier - Médiathèque Michel Bussi;L'Atelier - Médiathèque Michel Bussi;OSM;Inconnu;117
153;Arbres remarquables de l'abbaye du Valasse;Abbaye du Valasse;OSM;Inconnu;90
154;[Villa Augustine] Appartement Célestine;Aucun;Aucune;Inconnu;0
155;L'Yvette;Aucun;Aucune;Inconnu;0
156;Soirée Africaine;Aucun;Aucune;Inconnu;0
157;Maison Legout;Maison Leroi;OSM;Inconnu;109
158;Rétro;Aucun;Aucune;Inconnu;0
159;Les Terres de Jim 2025;Aucun;Aucune;Inconnu;0
160;AST SUN JET PASSION;Aucun;Aucune;Inconnu;0
161;Bar Zoo;Bar Zoo;OSM;Inconnu;128
162;Musée du Cidre et des Métiers Traditionnels;Aucun;Aucune;Inconnu;0
163;La Maison Bleue;Aucun;Aucune;Inconnu;0
164;Gite du Point du Jour;Aucun;Aucune;Inconnu;0
165;Chez Suzy et Gérard;Aucun;Aucune;Inconnu;0
166;Visite guidée couplée ville/théâtre romain;Aucun;Aucune;Inconnu;0
167;Suites du château de Roumare;Château de Roumare;OSM;Inconnu;81
168;[Visite guidée] Puys : le charme discret d’une station balnéaire;Aucun;Aucune;Inconnu;0
169;Aire de stationnement et de service d'Ecretteville-les-Baons;Aucun;Aucune;Inconnu;0
171;[reporté] Défilé de vieux véhicules de sapeurs-pompiers;Aucun;Aucune;Inconnu;0
172;Randonnée à la Hallotière;La Hallotière;OSM;Inconnu;76
173;Foire à tout au stade d'Etoutteville;Aucun;Aucune;Inconnu;0
174;Atelier : Broderie sur papier;Aucun;Aucune;Inconnu;0
175;Escalade - Séance multisports;Aucun;Aucune;Inconnu;0
176;La Ferme de La Boudinière;Aucun;Aucune;Inconnu;0
177;Journées Européennes du Patrimoine 2026;Aucun;Aucune;Inconnu;0
178;Dans les pas de Laura · Visites guidées;Aucun;Aucune;Inconnu;0
179;Les terrasses du jeudi;Aucun;Aucune;Inconnu;0
181;Château de Maltot - Le Nichoir;Les Gîtes du Château de Maltot;AccèsLibre;Non;96
182;Boutique de la distillerie de la Seine - spiritueux Made In LH;Aucun;Aucune;Inconnu;0
183;La Mercerie de Denise;Aucun;Aucune;Inconnu;0
184;Le Clos Vildor;Aucun;Aucune;Inconnu;0
185;La Réserve en Seine;Aucun;Aucune;Inconnu;0
186;Chasse aux trésors Oiseaux;Aucun;Aucune;Inconnu;0
187;Centre Hospitalier d'Eu;Centre Hospitalier d'Eu;AccèsLibre;Oui;112
188;Chez Simon;Aucun;Aucune;Inconnu;0
189;Des Glycines à la Porte Noire;Aucun;Aucune;Inconnu;0
190;Linstantiny;Aucun;Aucune;Inconnu;0
191;"Les Gîtes du Manoir du Perroy ""Le Four à Pain""";Manoir du Perroy;OSM;Inconnu;98
192;Hissez les voiles à Dieppe !;Cercle de la Voile de Dieppe;AccèsLibre;Oui;90
193;Bleu Horizon;Aucun;Aucune;Inconnu;0
194;Foire à tout/ Loterie;Aucun;Aucune;Inconnu;0
195;Mme CONSEIL Sylvia;Aucun;Aucune;Inconnu;0
196;Visite du Tissage du Ronchay;Aucun;Aucune;Inconnu;0
197;Le Gîte la Pommeraie;Aucun;Aucune;Inconnu;0
198;Marché traditionnel;Aucun;Aucune;Inconnu;0
199;La Forêt de Ménonval;Aucun;Aucune;Inconnu;0
200;Chez Mme ROBILLARD Marie-Line;Aucun;Aucune;Inconnu;0
201;GUIHOME;Aucun;Aucune;Inconnu;0
202;Mess My Mind 2026;Aucun;Aucune;Inconnu;0
203;La Quesnoye;Aucun;Aucune;Inconnu;0
204;Pablo Mira;Aucun;Aucune;Inconnu;0
205;Humour : Haroun - Bonjour quand même;Aucun;Aucune;Inconnu;0
206;Aéroclub de l'Estuaire de la Seine;Aucun;Aucune;Inconnu;0
208;Les bulles de Malylou;Aucun;Aucune;Inconnu;0
209;Escape Game Étretat - Panda Motion;Aucun;Aucune;Inconnu;0
210;Château du Val d'Arques;Aucun;Aucune;Inconnu;0
211;Gîte Le Presbytère;Aucun;Aucune;Inconnu;0
212;[Musique] On laisse les clés à Hakim Molina;Aucun;Aucune;Inconnu;0
213;Bodega Le Havre;Bodega;AccèsLibre;Inconnu;96
214;Marché hebdomadaire de Forges-les-Eaux;Forges-les-Eaux;OSM;Inconnu;94
