id_poi;poi;found;best_score;best_match;nb_results
125;Le Bièvredent;True;0.1777777777777778;CABINET OF ORDERS. - Correspondence. III Letters in alphabetical order. L.-Z.;1
126;Concert : Benjamin Biolay;False;0;;0
127;Meublé 54 LEVILLAIN;False;0;;0
128;Un après-midi à la ferme;True;0.5365853658536586;Robe d'après-midi;5
129;All Suites Appart Hôtel Le Havre - GESTLEHAVRE;False;0;;0
130;Gîte du petit pressoir;False;0;;0
131;La Longère;True;0.4705882352941176;Story of Etienne Longère;5
132;Fête de la musique à Cideville;False;0;;0
133;Marais de Longueil;False;0;;0
134;Écomusée Pays de Caux - Traditions du Lin;False;0;;0
135;Le Fournil du Lin;False;0;;0
136;Visite théâtralisée : Perret la nuit...;False;0;;0
137;Hôtel de Bourgtheroulde ***** - Autograph Collection;False;0;;0
138;Jardin du Manoir de l'Aumônerie;False;0;;0
139;[Animations] Village des sports;True;0.32432432432432434;The Fermo area. Route n ° 1\ n\ t innovation and intelligence of a footwear area;1
140;L'insolit O Verger;False;0;;0
141;Aire de pique-nique d'Héronchelles;False;0;;0
142;Circuit du Tournant;True;0.3214285714285714;Julien-François Zbinden (Compositeur);3
143;Gîte Côté Mer;False;0;;0
144;Mon premier ciné concert;True;0.36065573770491793;Julien-François Zbinden (Compositeur);1
145;La croix de pierre;True;1.0;La croix de pierre;5
146;Le Cotin des Cordiers;False;0;;0
147;[Concours de pétanque] La Boule Offranvillaise;False;0;;0
148;Aux Anciennes Halles;True;0.6415094339622642;Bâtiment dit les anciennes Halles;4
149;La Cavée aux Coqs à VTT;False;0;;0
150;La Mare aux Daims;False;0;;0
151;"Marché à la ferme ""Les Prés d'Artemare""";False;0;;0
152;L'Atelier - Médiathèque Michel Bussi;False;0;;0
153;Arbres remarquables de l'abbaye du Valasse;False;0;;0
154;[Villa Augustine] Appartement Célestine;False;0;;0
155;L'Yvette;True;0.5925925925925926;Lavoir sur l'Yvette;5
156;Soirée Africaine;True;0.9375;Soiree africaine;3
157;Maison Legout;False;0;;0
158;Rétro;True;0.8;Retro;5
159;Les Terres de Jim 2025;False;0;;0
160;AST SUN JET PASSION;False;0;;0
161;Bar Zoo;True;0.6;Zoo;5
162;Musée du Cidre et des Métiers Traditionnels;False;0;;0
163;La Maison Bleue;True;1.0;La Maison bleue;5
164;Gite du Point du Jour;True;0.30379746835443033;Caricatures of the German occupier made by Elisabeth Rouy,;3
165;Chez Suzy et Gérard;False;0;;0
166;Visite guidée couplée ville/théâtre romain;False;0;;0
167;Suites du château de Roumare;False;0;;0
168;[Visite guidée] Puys : le charme discret d’une station balnéaire;False;0;;0
