Nom;latitude;longitude;found;google_maps_url
Café des sports;49.8958;1.26474;True;https://www.google.com/maps/search/?api=1&query=49.8958%2C1.26474%28Caf%C3%A9%20des%20sports%29
[Visite guidée] Dieppe : cité d’architecture, projet d’architecte(s);49.9241512;1.0811478;True;https://www.google.com/maps/search/?api=1&query=49.9241512%2C1.0811478%28%5BVisite%20guid%C3%A9e%5D%20Dieppe%20%3A%20cit%C3%A9%20d%E2%80%99architecture%2C%20projet%20d%E2%80%99architecte%28s%29%29
Les Enfants Terribles;49.2881375;1.00598939;True;https://www.google.com/maps/search/?api=1&query=49.2881375%2C1.00598939%28Les%20Enfants%20Terribles%29
Sur le chemin de Compostelle de Rouen à Saint-Cyr-la-Campagne;49.439917;1.093788;True;https://www.google.com/maps/search/?api=1&query=49.439917%2C1.093788%28Sur%20le%20chemin%20de%20Compostelle%20de%20Rouen%20%C3%A0%20Saint-Cyr-la-Campagne%29
[R] Vedettes Baie de Seine - Visite du Port du Havre;49.4897976;0.09740794;True;https://www.google.com/maps/search/?api=1&query=49.4897976%2C0.09740794%28%5BR%5D%20Vedettes%20Baie%20de%20Seine%20-%20Visite%20du%20Port%20du%20Havre%29
Concert à l'Eglise Sainte-Jeanne-D'arc;49.54895;1.0571;True;https://www.google.com/maps/search/?api=1&query=49.54895%2C1.0571%28Concert%20%C3%A0%20l%27Eglise%20Sainte-Jeanne-D%27arc%29
Eden Bien-Être;49.44635;1.10927;True;https://www.google.com/maps/search/?api=1&query=49.44635%2C1.10927%28Eden%20Bien-%C3%8Atre%29
Camping Le Parc;49.4843154;0.77051299;True;https://www.google.com/maps/search/?api=1&query=49.4843154%2C0.77051299%28Camping%20Le%20Parc%29
Exposition : Récits d'une métamorphose;50.0471331;1.42034096;True;https://www.google.com/maps/search/?api=1&query=50.0471331%2C1.42034096%28Exposition%20%3A%20R%C3%A9cits%20d%27une%20m%C3%A9tamorphose%29
Chez M. Tourmente;49.60171;0.43299;True;https://www.google.com/maps/search/?api=1&query=49.60171%2C0.43299%28Chez%20M.%20Tourmente%29
Promenade & pêche en mer · Navigation Normande;49.9273362;1.07996208;True;https://www.google.com/maps/search/?api=1&query=49.9273362%2C1.07996208%28Promenade%20%26%20p%C3%AAche%20en%20mer%20%C2%B7%20Navigation%20Normande%29
"Marché à la ferme ""Les Prés d'Artemare""";49.7680433;0.7305165;True;https://www.google.com/maps/search/?api=1&query=49.7680433%2C0.7305165%28March%C3%A9%20%C3%A0%20la%20ferme%20%22Les%20Pr%C3%A9s%20d%27Artemare%22%29
Marche et Barbecue;49.5131415;1.6963887;True;https://www.google.com/maps/search/?api=1&query=49.5131415%2C1.6963887%28Marche%20et%20Barbecue%29
LE PIGEONNIER;50.06138;1.37122;True;https://www.google.com/maps/search/?api=1&query=50.06138%2C1.37122%28LE%20PIGEONNIER%29
Soirée du Comité des Fêtes;49.8430072;0.96308404;True;https://www.google.com/maps/search/?api=1&query=49.8430072%2C0.96308404%28Soir%C3%A9e%20du%20Comit%C3%A9%20des%20F%C3%AAtes%29
Pagaies en Seine;49.3896832;1.125111;True;https://www.google.com/maps/search/?api=1&query=49.3896832%2C1.125111%28Pagaies%20en%20Seine%29
Marché traditionnel;49.8817787;0.82976744;True;https://www.google.com/maps/search/?api=1&query=49.8817787%2C0.82976744%28March%C3%A9%20traditionnel%29
Cinéma Le Chanteclerc;49.77028;1.75352;True;https://www.google.com/maps/search/?api=1&query=49.77028%2C1.75352%28Cin%C3%A9ma%20Le%20Chanteclerc%29
Le grand gîte d'Angélique;49.49292;0.63346;True;https://www.google.com/maps/search/?api=1&query=49.49292%2C0.63346%28Le%20grand%20g%C3%AEte%20d%27Ang%C3%A9lique%29
La Bouquinerie des Étoupes;49.54181;1.51376;True;https://www.google.com/maps/search/?api=1&query=49.54181%2C1.51376%28La%20Bouquinerie%20des%20%C3%89toupes%29
Marché d'Auffay;49.7186236;1.09992692;True;https://www.google.com/maps/search/?api=1&query=49.7186236%2C1.09992692%28March%C3%A9%20d%27Auffay%29
Voiles et Galets d'Étretat;49.7072828;0.20310638;True;https://www.google.com/maps/search/?api=1&query=49.7072828%2C0.20310638%28Voiles%20et%20Galets%20d%27%C3%89tretat%29
Initiation au char à voile sur la Côte d'Albâtre;49.88984;0.87467;True;https://www.google.com/maps/search/?api=1&query=49.88984%2C0.87467%28Initiation%20au%20char%20%C3%A0%20voile%20sur%20la%20C%C3%B4te%20d%27Alb%C3%A2tre%29
Concours de pétanque;49.688319;0.80866699;True;https://www.google.com/maps/search/?api=1&query=49.688319%2C0.80866699%28Concours%20de%20p%C3%A9tanque%29
Restaurant Les Bains;49.8686956;0.71278947;True;https://www.google.com/maps/search/?api=1&query=49.8686956%2C0.71278947%28Restaurant%20Les%20Bains%29
[Visite guidée] Dieppe, l'Avent Noël;49.92568;1.07151;True;https://www.google.com/maps/search/?api=1&query=49.92568%2C1.07151%28%5BVisite%20guid%C3%A9e%5D%20Dieppe%2C%20l%27Avent%20No%C3%ABl%29
Chez Madame Nathalie THIREL;49.53686;0.446967;True;https://www.google.com/maps/search/?api=1&query=49.53686%2C0.446967%28Chez%20Madame%20Nathalie%20THIREL%29
PR La Fontaine;49.5023143;0.93001426;True;https://www.google.com/maps/search/?api=1&query=49.5023143%2C0.93001426%28PR%20La%20Fontaine%29
La frite gourmande by la frite qui Plé;50.0635698;1.3763151;True;https://www.google.com/maps/search/?api=1&query=50.0635698%2C1.3763151%28La%20frite%20gourmande%20by%20la%20frite%20qui%20Pl%C3%A9%29
Jardin du Château d'Imbleville;49.7230942;0.95545983;True;https://www.google.com/maps/search/?api=1&query=49.7230942%2C0.95545983%28Jardin%20du%20Ch%C3%A2teau%20d%27Imbleville%29
Le Gros-Horloge;49.4415052;1.09123645;True;https://www.google.com/maps/search/?api=1&query=49.4415052%2C1.09123645%28Le%20Gros-Horloge%29
Les Vergers;49.4116294;0.85752404;True;https://www.google.com/maps/search/?api=1&query=49.4116294%2C0.85752404%28Les%20Vergers%29
Aire de Camping-Car de Buchy;49.5862956;1.36471982;True;https://www.google.com/maps/search/?api=1&query=49.5862956%2C1.36471982%28Aire%20de%20Camping-Car%20de%20Buchy%29
Sortie nature : De la vie dans le jardin - Participez à la vie du jardin de la maison Dahlia;49.5126201;0.1586729;True;https://www.google.com/maps/search/?api=1&query=49.5126201%2C0.1586729%28Sortie%20nature%20%3A%20De%20la%20vie%20dans%20le%20jardin%20-%20Participez%20%C3%A0%20la%20vie%20du%20jardin%20de%20la%20maison%20Dahlia%29
Villa Saint-Laurent;50.039045;1.340833;True;https://www.google.com/maps/search/?api=1&query=50.039045%2C1.340833%28Villa%20Saint-Laurent%29
Visite guidée - Eu : Mille ans d'Histoire;50.0485671;1.41908166;True;https://www.google.com/maps/search/?api=1&query=50.0485671%2C1.41908166%28Visite%20guid%C3%A9e%20-%20Eu%20%3A%20Mille%20ans%20d%27Histoire%29
