id_poi;nom;nom_osm;score_fiabilite;Heure_Ouverture;Categorie
457;Cinéma du Casino;Aucun;0;Inconnu;culture
464;L'Ô2 Mer;L'Ô2 mer;93;"Mo-Su 09:00-23:00;PH 09:00-23:00";food
466;Gîte de la Vallée;Aucun;0;Inconnu;accommodation
479;La Bichotterie;Aucun;0;Inconnu;activity
480;La Vallée de Valmont;Aucun;0;Inconnu;nature
481;Bourvil à bicyclette;Aucun;0;Inconnu;activity
483;Le Mont de Beaussault;Aucun;0;Inconnu;activity
484;Aire de pique-nique de Bosc-le-Hard;Aucun;0;Inconnu;activity
485;Au pied des vagues;Aucun;0;Inconnu;accommodation
490;Flab' des Vents;Aucun;0;Inconnu;accommodation
491;Hôtel Ibis Budget Petit-Quevilly;Aucun;0;Inconnu;accommodation
502;À la découverte de Bondeville et Colleville;Aucun;0;Inconnu;activity
503;Forêt de Jumièges;Jumièges;98;"Mo 14:00-17:00; Tu-We,Fr 09:00-12:00,14:00-17:00; Th 10:00-12:00,14:00-17:00; Sa 09:00-12:00; PH off; 2024 May 20 off";nature
505;La Sirène - Restaurant;Aucun;0;Inconnu;accommodation
510;Valleuse de Senneville-sur-Fécamp;Aucun;0;Inconnu;nature
511;Point Location Nautisme;Aucun;0;Inconnu;activity
512;Château d'Ouville l'Abbaye;Aucun;0;Inconnu;culture
522;Maison de Santé pluridisciplinaire Les Carmes;Aucun;0;Inconnu;shop
526;Villa quai du Tréport;Aucun;0;Inconnu;accommodation
528;Brasserie Saint Joseph - Boutique;Aucun;0;Inconnu;shop
534;Parc du chateau de Merval;Aucun;0;Inconnu;nature
537;Entre Varenne et Scie;Aucun;0;Inconnu;activity
538;la Ferme des Trois Portes;Aucun;0;Inconnu;culture
541;La belle histoire;Aucun;0;Inconnu;accommodation
546;LU6D;LU6D Rouen;99;"Mo-Th 11:00-22:30; Fr-Sa 10:00-23:00; Su 11:00-19:00";activity
548;PR La Forêt de Jumièges;Aucun;0;Inconnu;activity
554;La Maisonnette;Aucun;0;Inconnu;accommodation
557;Gîte L'Air du Large;Aucun;0;Inconnu;accommodation
561;Villa The Treport;Aucun;0;Inconnu;accommodation
563;Aire de pique-nique de Montville;Aucun;0;Inconnu;activity
573;Le Chalet du Pêcheur;Aucun;0;Inconnu;accommodation
576;Ancien Bailliage d'Arques la Bataille;Aucun;0;Inconnu;culture
598;Clinique Saint Hilaire;Clinique Saint-Hilaire;86;24/7;shop
601;Gîte le clos des Nandous;Aucun;0;Inconnu;accommodation
